offer_type,username,online_or_auto,bank_name,max_amount,min_amount,total_amount,user_btc_available_balance,payment_method,sell_all_fiat_token
sell,thanh_cong,TRUE,Vietcombank,200000000,50000,2476713.004,2476713.004,p2p_banking,TRUE
buy,4257627,TRUE,Vietcombank,10000000,50000,8705396,107870200,p2p_banking,FALSE
buy,1737389,TRUE,Vietcombank,200000000,50000,13529353,69041267.32,p2p_banking,FALSE
sell,1452613,TRUE,Vietcombank,100000000,50000,137477629.3,137477629.3,p2p_banking,TRUE
buy,490502,FALSE,ACB,1000000000,50000,8349581392,475622866.6,local_bank,FALSE
buy,490502,FALSE,Techcombank,1000000000,50000,4874196191,327018611.6,local_bank,FALSE
sell,1737389,TRUE,Vietcombank,200000000,50000,108964277.6,108964277.6,p2p_banking,TRUE
buy,1368421,FALSE,MB,360000000,50000,9981943499,0.54178,local_bank,FALSE
buy,1123639,TRUE,Vietcombank,1000000000,200000,487875236,399648886.2,local_bank,FALSE
buy,5741573,TRUE,Techcombank,100000000,50000,4638992,0.1875,p2p_banking,FALSE
buy,5425693,TRUE,Vietcombank,1000000000,50000,3638576,8220,p2p_banking,FALSE
sell,6072865,TRUE,Vietcombank,300000000,50000,405680471.4,404359471.4,p2p_banking,TRUE
buy,2402317,TRUE,Vietcombank,1000000000,200000,487875236,7661239.876,local_bank,FALSE
sell,5694484,TRUE,Vietcombank,500000000,50000,4032773.397,661773.3975,local_bank,TRUE
sell,1123639,TRUE,Techcombank,1000000000,200000,308580989.2,308580989.2,local_bank,TRUE
sell,4710339,FALSE,MB,1000000000,50000,1271620.004,1271620.004,local_bank,TRUE
sell,4710339,FALSE,Techcombank,1000000000,50000,1271620.004,1271620.004,local_bank,TRUE
buy,388509,FALSE,VietinBank,350000000,50000,60000000,286959233.4,local_bank,FALSE
buy,3069831,TRUE,Vietcombank,1000000000,200000,487875236,0.3674972,local_bank,FALSE
buy,5999889,TRUE,BIDV,1000000000,200000,487875236,358815457,local_bank,FALSE
buy,5686249,TRUE,Vietcombank,1000000000,50000,79107742,0.38983,local_bank,FALSE
buy,5686249,TRUE,VietinBank,1000000000,50000,79107742,0.38983,local_bank,FALSE
sell,2402317,TRUE,Vietcombank,1000000000,200000,306157356,306157356.9,local_bank,TRUE
sell,6072865,TRUE,VietinBank,300000000,50000,405680471.4,404359471.4,p2p_banking,TRUE
sell,1368421,FALSE,MB,1000000000,50000,2470000.302,0.30172,local_bank,TRUE
sell,1368421,FALSE,TPBank,1000000000,50000,2470000.302,0.30172,local_bank,TRUE
buy,1368421,FALSE,BIDV,360000000,50000,9941907753,0.54178,local_bank,FALSE
sell,4987547,TRUE,Vietcombank,1000000000,50000,67824579.37,67824579.37,p2p_banking,TRUE
sell,1368421,FALSE,Techcombank,1000000000,50000,2470000.302,0.30172,local_bank,TRUE
sell,5694484,TRUE,MB,500000000,50000,6032773.397,661773.3975,local_bank,TRUE
buy,6055488,TRUE,Vietcombank,100000000,50000,86050444,0.00E+00,p2p_banking,FALSE
buy,2402317,TRUE,Techcombank,1000000000,200000,487875236,400000000.9,local_bank,FALSE
sell,2402317,TRUE,Techcombank,1000000000,200000,306157356,306157356.9,local_bank,TRUE
sell,2305272,TRUE,MB,1000000000,50000,82528584.14,82528584.14,p2p_banking,TRUE
buy,3069831,TRUE,VPBank,1000000000,200000,487875236,424184962.9,local_bank,FALSE
sell,3069831,TRUE,Techcombank,1000000000,200000,310735967.9,310735967.9,local_bank,TRUE
sell,2810149,TRUE,Techcombank,1000000000,50000,12544856.03,12293217.03,p2p_banking,TRUE
sell,6055488,TRUE,Vietcombank,1000000000,50000,15262675.63,15662675.63,p2p_banking,TRUE
sell,1452613,TRUE,VietinBank,100000000,50000,137477629.3,137477629.3,p2p_banking,TRUE
buy,thanh_cong,TRUE,Techcombank,1000000000,50000,75740983,62759074,p2p_banking,FALSE
sell,5929354,TRUE,VietinBank,500000000,50000,196241169,196241169,p2p_banking,TRUE
buy,1123639,TRUE,MB,1000000000,200000,487875236,399648886.2,local_bank,FALSE
sell,5686249,TRUE,MB,500000000,50000,22234264.39,22234264.39,local_bank,TRUE
sell,3495174,TRUE,Vietcombank,1000000000,50000,31184148.62,31184148.62,p2p_banking,TRUE
buy,5929354,TRUE,VietinBank,500000000,50000,451512475,4415384.003,p2p_banking,FALSE
sell,3069831,TRUE,MB,1000000000,200000,310735967.9,310735967.9,local_bank,TRUE
sell,5999889,TRUE,MB,1000000000,200000,316484200,316484200,local_bank,TRUE
buy,2455231,TRUE,VPBank,300000000,50000,3918837527,3738117,local_bank,FALSE
sell,5999889,TRUE,Vietcombank,1000000000,200000,316484200,316484200,local_bank,TRUE
buy,5999889,TRUE,Vietcombank,1000000000,200000,487875236,358815457,local_bank,FALSE
sell,1737389,TRUE,Techcombank,1000000000,50000,108964277.6,108964277.6,p2p_banking,TRUE
buy,2007197,TRUE,Techcombank,1000000000,50000,2613769,164263723,p2p_banking,FALSE
sell,2295469,TRUE,Vietcombank,1000000000,50000,161301487.1,161301487.1,p2p_banking,TRUE
buy,1280262,TRUE,Vietcombank,100000000,50000,2722507,63520908.74,p2p_banking,FALSE
buy,4987547,TRUE,Vietcombank,1000000000,50000,835164,0.91538,p2p_banking,FALSE
buy,5694484,TRUE,Techcombank,1000000000,50000,79107742,0.39745,local_bank,FALSE
buy,1123639,TRUE,Techcombank,1000000000,200000,487875236,399648886.2,local_bank,FALSE
buy,thanh_cong,TRUE,MB,1000000000,50000,18604757,84531386,p2p_banking,FALSE
buy,1030804,TRUE,Vietcombank,300000000,50000,78144,378708353.5,p2p_banking,FALSE
buy,2295469,TRUE,Vietcombank,200000000,50000,118326,73972394.04,p2p_banking,FALSE
sell,388509,FALSE,Techcombank,350000000,50000,424452231.1,424452231.1,local_bank,TRUE
buy,388509,FALSE,Techcombank,350000000,50000,58000000,57334283.25,local_bank,FALSE
sell,388509,FALSE,Sacombank,350000000,50000,424452231.1,424452231.1,local_bank,TRUE
sell,388509,FALSE,Vietcombank,350000000,50000,424452231.1,424452231.1,local_bank,TRUE
buy,388509,FALSE,Vietcombank,350000000,50000,58000000,50800000.25,local_bank,FALSE
buy,5929354,TRUE,Vietcombank,500000000,50000,535115395,4935000000,p2p_banking,FALSE
sell,5870680,TRUE,Vietcombank,150000000,50000,245902589.1,245902589.1,p2p_banking,TRUE
sell,4212828,TRUE,Vietcombank,100000000,50000,89117893.63,88817893.63,p2p_banking,TRUE
buy,4212828,TRUE,Vietcombank,100000000,50000,11205893,70000000,p2p_banking,FALSE
buy,490502,FALSE,Vietcombank,1000000000,50000,8439324222,1041915.884,local_bank,FALSE
buy,5689904,TRUE,MB,20000000,50000,14901616,200000,p2p_banking,FALSE
buy,1452613,TRUE,Vietcombank,100000000,50000,2312768,6851268.267,p2p_banking,FALSE
sell,4257627,TRUE,Vietcombank,200000000,50000,3296408.988,3296408.988,p2p_banking,TRUE
sell,5689904,TRUE,MB,200000000,50000,4661449.001,4561449.001,p2p_banking,TRUE
buy,thanh_cong,TRUE,Vietcombank,200000000,50000,43177547,451618838.7,p2p_banking,FALSE
buy,3495174,TRUE,Vietcombank,1000000000,50000,168722772,43325,p2p_banking,FALSE
sell,5741573,TRUE,Techcombank,1000000000,50000,100033022.2,99783022.19,p2p_banking,TRUE
buy,1368421,FALSE,ACB,360000000,50000,8928405532,0.54178,local_bank,FALSE
buy,2402317,TRUE,MB,1000000000,200000,487875236,400000000.9,local_bank,FALSE
sell,1368421,FALSE,ACB,1000000000,50000,2470000.302,0.30172,local_bank,TRUE
buy,2305272,TRUE,MB,1000000000,50000,20412161,77373560.76,p2p_banking,FALSE
sell,5694484,TRUE,VietinBank,500000000,50000,4032773.397,661773.3975,local_bank,TRUE
buy,1368421,FALSE,Vietcombank,360000000,50000,7583063822,0.54178,local_bank,FALSE
buy,490502,FALSE,TPBank,1000000000,50000,8468092727,11936664.03,local_bank,FALSE
buy,388509,FALSE,BIDV,300000000,50000,50000000,25168493.4,local_bank,FALSE
buy,5686249,TRUE,BIDV,1000000000,50000,79107742,0.38983,local_bank,FALSE
sell,1123639,TRUE,Vietcombank,1000000000,200000,308580989.2,308580989.2,local_bank,TRUE
buy,2402317,TRUE,VietinBank,1000000000,200000,487875236,400000000.9,local_bank,FALSE
buy,5999889,TRUE,Techcombank,1000000000,200000,487875236,358815457,local_bank,FALSE
sell,1280262,TRUE,Vietcombank,1000000000,50000,4414600.365,104414600.4,p2p_banking,TRUE
sell,2007197,TRUE,Techcombank,1000000000,50000,161988277,161988277,p2p_banking,TRUE
buy,1123639,TRUE,ACB,1000000000,200000,487875236,308944446.2,local_bank,FALSE
sell,1123639,TRUE,MB,1000000000,200000,308580989.2,308580989.2,local_bank,TRUE
sell,3069831,TRUE,Vietcombank,1000000000,200000,310735967.9,310735967.9,local_bank,TRUE
buy,3069582,TRUE,Vietcombank,130000000,50000,110771175,3609417.52,p2p_banking,FALSE
sell,5999889,TRUE,Techcombank,1000000000,200000,316484200,316484200,local_bank,TRUE
buy,5686249,TRUE,Techcombank,1000000000,50000,79107742,0.38983,local_bank,FALSE
buy,3069831,TRUE,Techcombank,1000000000,200000,487875236,426684962.9,local_bank,FALSE
sell,5425693,TRUE,Vietcombank,1000000000,50000,43862979,43642979,p2p_banking,TRUE
sell,2402317,TRUE,MB,500000000,200000,306157356,306157356.9,local_bank,TRUE
buy,5694484,TRUE,MB,1000000000,50000,79107742,73166163.4,local_bank,FALSE
buy,5694484,TRUE,VietinBank,1000000000,50000,79107742,0.39745,local_bank,FALSE
buy,3069831,TRUE,MB,1000000000,200000,487875236,424184962.9,local_bank,FALSE
buy,2455231,TRUE,Techcombank,300000000,50000,2783954557,71010415,local_bank,FALSE
buy,2455231,TRUE,Vietcombank,300000000,50000,2016422907,54709658,local_bank,FALSE
buy,2455231,TRUE,TPBank,300000000,50000,2351129118,54709658,local_bank,FALSE
sell,2455231,TRUE,Techcombank,1000000000,50000,186830228,154780225,local_bank,TRUE
buy,1737389,TRUE,Techcombank,1000000000,50000,7160859,172189910.6,p2p_banking,FALSE
buy,1737389,TRUE,MB,1000000000,50000,20494813,94728708.63,p2p_banking,FALSE
sell,6100350,TRUE,MB,1000000000,50000,96448716,96448716,p2p_banking,TRUE
buy,5999889,TRUE,MB,1000000000,200000,487875236,412040700,local_bank,FALSE
sell,1737389,TRUE,MB,1000000000,50000,108964277.6,108964277.6,p2p_banking,TRUE
buy,2810149,TRUE,Techcombank,13227530,50000,861879,43587.71746,p2p_banking,FALSE
sell,5990639,TRUE,Techcombank,1000000000,50000,204121275.4,204121275.4,p2p_banking,TRUE
buy,5694484,TRUE,Vietcombank,1000000000,50000,79107742,0.39745,local_bank,FALSE
sell,thanh_cong,TRUE,Techcombank,1000000000,50000,2476713.004,2476713.004,p2p_banking,TRUE
sell,thanh_cong,TRUE,MB,1000000000,50000,1956713.004,2476713.004,p2p_banking,TRUE
buy,5990639,TRUE,Techcombank,1000000000,50000,50471407,136086221,p2p_banking,FALSE
buy,6100350,TRUE,MB,1000000000,50000,6694961,97771422,p2p_banking,FALSE
sell,1030804,TRUE,Vietcombank,300000000,50000,307519778,307519778,p2p_banking,TRUE
buy,6072865,TRUE,Vietcombank,300000000,50000,132089823,0.00E+00,p2p_banking,FALSE
buy,6072865,TRUE,VietinBank,300000000,50000,63450330,84620065.36,p2p_banking,FALSE
buy,5870680,TRUE,Vietcombank,100000000,50000,167102,60897.1614,p2p_banking,FALSE
sell,388509,FALSE,MB,350000000,50000,424452231.1,424452231.1,local_bank,TRUE
sell,5929354,TRUE,Vietcombank,500000000,50000,196241169,196241169,p2p_banking,TRUE
sell,2455231,TRUE,VPBank,560000000,50000,186830228,154780225,local_bank,TRUE
sell,2455231,TRUE,TPBank,500000000,50000,186830228,154780225,local_bank,TRUE